Zipcode,admin_name1,Lat,Long,accuracy
143534,Punjab,31.8121,75.2348,
143535,Punjab,31.8121,75.2348,
143536,Punjab,31.8121,75.2348,
143537,Punjab,31.8121,75.2348,
143538,Punjab,31.8121,75.2348,
143601,Punjab,31.7583,74.9544,4
143602,Punjab,31.8644,74.9511,4
143603,Punjab,31.8854,74.9741,
143604,Punjab,32.0333,75.0167,4
143605,Punjab,31.8854,74.9741,
143606,Punjab,31.8854,74.9741,
143607,Punjab,31.8854,74.9741,
144001,Punjab,31.3256,75.5792,
144002,Punjab,31.3256,75.5792,4
144003,Punjab,31.3166,75.5666,4
144004,Punjab,31.3256,75.5792,4
144005,Punjab,31.3256,75.5792,4
144006,Punjab,31.3256,75.5792,4
144007,Punjab,31.3256,75.5792,
144009,Punjab,31.3256,75.5792,
144010,Punjab,31.3332,75.59,
144011,Punjab,31.3332,75.59,
144020,Punjab,31.3524,75.6171,
144021,Punjab,31.3256,75.5792,4
144022,Punjab,31.3524,75.6171,
144023,Punjab,31.3524,75.6171,
144025,Punjab,31.3792,75.655,4
144026,Punjab,31.3524,75.6171,
144027,Punjab,31.3524,75.6171,
144028,Punjab,31.3524,75.6171,
144101,Punjab,31.3654,75.7531,
144102,Punjab,31.3654,75.7531,
144103,Punjab,31.3654,75.7531,
144104,Punjab,31.3654,75.7531,
